,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14,Category 15,Category 16,Category 17,Category 18,Category 19,Category 20,Category 21,Category 22,Category 23,Category 24
Category 1,1.0,0.18739958874212193,0.1373462467473741,-0.009929244029734354,-0.04060912236372149,-0.14770428563705282,-0.3191042702332169,-0.22842599847493603,-0.3263629697945865,-0.283798985402874,-0.17561245350087942,-0.19844234636359157,-0.09844838046749935,-0.2050780437514748,-0.14800238582735398,0.04892412508145204,0.1411156289649381,0.15035900586777934,0.19012183964737606,0.14692401677833922,0.2433517910130279,0.29822147334428845,0.34208827003705267,0.44306432247911426
Category 2,0.18739958874212193,1.0,0.345046426925352,0.14307401530235972,0.13539510423560647,0.015181483724134514,-0.08127999249467584,-0.030598072254810614,-0.050988911769169656,-0.09339817399820662,-0.22460495555984453,-0.11351650865997559,-0.1622336884332811,-0.06834051781832412,-0.03869505000286006,-0.03989127863521437,-0.05406146775525121,-0.062308234595498446,0.017793719149331793,0.02838510410661811,-0.0026930254407168783,-0.0584979277879885,0.029011458309652148,0.06932609962458644
Category 3,0.1373462467473741,0.345046426925352,1.0,0.4012876527852313,0.346624433272796,0.18801480707821147,-0.0986755774870574,-0.17969357925422572,-0.22162783073225775,-0.18909844955872074,-0.1568702861994667,-0.2305080948261947,-0.17574024694261528,-0.15499571269354717,-0.15455629260924295,-0.011265199269108354,-0.05308108025013967,-0.08722039590648888,-0.04301418073336284,-0.021234086763293237,-0.025284896181515217,0.09823123768670985,0.10539622247837814,0.06386209325720325
Category 4,-0.009929244029734354,0.14307401530235972,0.4012876527852313,1.0,0.6147074528376,0.3291416983440727,-0.04941178484474425,-0.08604097373442944,-0.1655874769811719,-0.11294944950290514,-0.09957260637122543,-0.1808130190835509,-0.14902633379880537,-0.29321893497803286,-0.29597912273986715,0.022583782097991133,-0.10618540737341002,-0.17698553047581905,-0.20395932515482545,-0.12055617216217279,-0.09723684650344111,0.2465678668808061,0.10896148580398002,0.020259493206041545
Category 5,-0.04060912236372149,0.13539510423560647,0.346624433272796,0.6147074528376,1.0,0.4642272717801682,0.07381544312612358,-0.0035893091201694076,-0.17242564148924538,-0.11398504618383565,-0.12849487451279987,-0.08062209862234569,-0.07597522294057611,-0.2823629241286154,-0.3335074029108931,-0.041266364972380225,-0.14801214318020095,-0.21194129007062662,-0.26519855546306237,-0.22791536690590403,-0.1863467743065721,0.08700004461002162,0.06492410418190207,0.03365516231024453
Category 6,-0.14770428563705282,0.015181483724134514,0.18801480707821147,0.3291416983440727,0.4642272717801682,1.0,0.3578331254614966,0.20495818051253456,0.10706070190066375,-0.015299431352955983,-0.13580297436864824,-0.16565161995170039,-0.15152842664203772,-0.14109728889388234,-0.1897820581987153,-0.1428359337752496,-0.21199784042113604,-0.2364488789371379,-0.25770057542159586,-0.2641902143981512,-0.24219128944761187,-0.1508959854836141,-0.16341331712217647,-0.11680713519070018
Category 7,-0.3191042702332169,-0.08127999249467584,-0.0986755774870574,-0.04941178484474425,0.07381544312612358,0.3578331254614966,1.0,0.3814578346377804,0.4210956332213175,0.23987576164546667,0.07210394180745676,0.022184043376634165,0.012585475004456222,0.08156873344525127,0.08468615646598723,-0.1286816927964215,-0.19172418154517024,-0.17425107012170263,-0.267307445126852,-0.27425757068074474,-0.2815804685182548,-0.43353203189733114,-0.2972136116615534,-0.2861445350474993
Category 8,-0.22842599847493603,-0.030598072254810614,-0.17969357925422572,-0.08604097373442944,-0.0035893091201694076,0.20495818051253456,0.3814578346377804,1.0,0.5217248304637849,0.5182833091518659,0.3019211614867582,0.023305262009385413,0.002979378306003504,-0.014712356863679787,-0.07846671502110329,-0.12038765506445998,-0.19912414099786666,-0.1729105417664009,-0.2434338600678889,-0.24339332977403366,-0.27314234939933,-0.2817160110785454,-0.19665024981834883,-0.16803908257545183
Category 9,-0.3263629697945865,-0.050988911769169656,-0.22162783073225775,-0.1655874769811719,-0.17242564148924538,0.10706070190066375,0.4210956332213175,0.5217248304637849,1.0,0.5664698523116495,0.25975691075127455,0.0005182387411929096,0.01515222675529594,0.01757181282113881,0.12950640946377606,-0.12361476944745921,-0.23986926746178386,-0.26309716262687216,-0.2629829104849823,-0.11830324798011527,-0.18371197036449696,-0.28729505129416366,-0.28960785042901926,-0.3686784492736412
Category 10,-0.283798985402874,-0.09339817399820662,-0.18909844955872074,-0.11294944950290514,-0.11398504618383565,-0.015299431352955983,0.23987576164546667,0.5182833091518659,0.5664698523116495,1.0,0.4584279427946418,0.1244008363061948,0.055480701776556306,0.007254309185152278,0.040254939123487384,-0.026537368420307725,-0.2031734301410992,-0.19885715090879216,-0.2717714572833833,-0.21148484255513672,-0.1316541915858281,-0.15842170879141976,-0.19315161981362336,-0.2573060663490066
Category 11,-0.17561245350087942,-0.22460495555984453,-0.1568702861994667,-0.09957260637122543,-0.12849487451279987,-0.13580297436864824,0.07210394180745676,0.3019211614867582,0.25975691075127455,0.4584279427946418,1.0,0.31382218383008975,0.25593956417955294,0.0661912487503759,-0.007714601288528143,0.013194995038182281,-0.10753379590188393,-0.10236527443633717,-0.16736484385291103,-0.22883315117760403,-0.25201225188371135,-0.04623747681558892,-0.08326228893891022,-0.14821428594210206
Category 12,-0.19844234636359157,-0.11351650865997559,-0.2305080948261947,-0.1808130190835509,-0.08062209862234569,-0.16565161995170039,0.022184043376634165,0.023305262009385413,0.0005182387411929096,0.1244008363061948,0.31382218383008975,1.0,0.47851189088753243,0.3568639171698682,0.18174596756084327,-0.0565087197550846,0.0013939783344450527,-0.005538443454496829,-0.032131640501051356,-0.1516865022675027,-0.24583803574650107,-0.28146083212117823,-0.12602751144530644,-0.10948679665762603
Category 13,-0.09844838046749935,-0.1622336884332811,-0.17574024694261528,-0.14902633379880537,-0.07597522294057611,-0.15152842664203772,0.012585475004456222,0.002979378306003504,0.01515222675529594,0.055480701776556306,0.25593956417955294,0.47851189088753243,1.0,0.5242035278418916,0.21903534538216127,-0.06124080117233258,-0.023183933607340113,0.018800320482197815,0.006175269728259091,-0.08013199313055724,-0.17930699842585204,-0.14853358401622435,-0.08494811190108965,-0.056718155576709374
Category 14,-0.2050780437514748,-0.06834051781832412,-0.15499571269354717,-0.29321893497803286,-0.2823629241286154,-0.14109728889388234,0.08156873344525127,-0.014712356863679787,0.01757181282113881,0.007254309185152278,0.0661912487503759,0.3568639171698682,0.5242035278418916,1.0,0.3736738877825244,-0.005939619222807648,0.040009284592005825,0.08261593360150105,0.09020136394955566,0.030790083663661358,-0.07938491233849847,-0.2603193125798388,-0.26040463339707315,-0.1422293200815533
Category 15,-0.14800238582735398,-0.03869505000286006,-0.15455629260924295,-0.29597912273986715,-0.3335074029108931,-0.1897820581987153,0.08468615646598723,-0.07846671502110329,0.12950640946377606,0.040254939123487384,-0.007714601288528143,0.18174596756084327,0.21903534538216127,0.3736738877825244,1.0,0.10861192035211122,0.0354016931277654,0.028919641386730147,0.023782805287370114,0.032226827120842516,0.05298818472090053,-0.20743211538810907,-0.17131923130438054,-0.19628228488873325
Category 16,0.04892412508145204,-0.03989127863521437,-0.011265199269108354,0.022583782097991133,-0.041266364972380225,-0.1428359337752496,-0.1286816927964215,-0.12038765506445998,-0.12361476944745921,-0.026537368420307725,0.013194995038182281,-0.0565087197550846,-0.06124080117233258,-0.005939619222807648,0.10861192035211122,1.0,0.3863526248935087,0.23504628444967715,0.05265649082056204,0.05770020174755976,0.1534251405179061,0.08636684481137369,0.06042924732027022,0.012979510251930261
Category 17,0.1411156289649381,-0.05406146775525121,-0.05308108025013967,-0.10618540737341002,-0.14801214318020095,-0.21199784042113604,-0.19172418154517024,-0.19912414099786666,-0.23986926746178386,-0.2031734301410992,-0.10753379590188393,0.0013939783344450527,-0.023183933607340113,0.040009284592005825,0.0354016931277654,0.3863526248935087,1.0,0.5774986037544904,0.32044589008580165,0.08895129343547586,0.153035804410387,0.0923183294856744,0.13954453296840413,0.16611671807833225
Category 18,0.15035900586777934,-0.062308234595498446,-0.08722039590648888,-0.17698553047581905,-0.21194129007062662,-0.2364488789371379,-0.17425107012170263,-0.1729105417664009,-0.26309716262687216,-0.19885715090879216,-0.10236527443633717,-0.005538443454496829,0.018800320482197815,0.08261593360150105,0.028919641386730147,0.23504628444967715,0.5774986037544904,1.0,0.41072922309375026,0.10754479243478728,0.18011407817655153,0.03999844069076202,0.10752712347600743,0.17656224887012728
Category 19,0.19012183964737606,0.017793719149331793,-0.04301418073336284,-0.20395932515482545,-0.26519855546306237,-0.25770057542159586,-0.267307445126852,-0.2434338600678889,-0.2629829104849823,-0.2717714572833833,-0.16736484385291103,-0.032131640501051356,0.006175269728259091,0.09020136394955566,0.023782805287370114,0.05265649082056204,0.32044589008580165,0.41072922309375026,1.0,0.2736366790275118,0.16248381659292718,0.035907180912897366,0.056291103602749144,0.10898866373238139
Category 20,0.14692401677833922,0.02838510410661811,-0.021234086763293237,-0.12055617216217279,-0.22791536690590403,-0.2641902143981512,-0.27425757068074474,-0.24339332977403366,-0.11830324798011527,-0.21148484255513672,-0.22883315117760403,-0.1516865022675027,-0.08013199313055724,0.030790083663661358,0.032226827120842516,0.05770020174755976,0.08895129343547586,0.10754479243478728,0.2736366790275118,1.0,0.2780828047714313,0.15577478324982627,0.08925937246691523,0.0684242635747035
Category 21,0.2433517910130279,-0.0026930254407168783,-0.025284896181515217,-0.09723684650344111,-0.1863467743065721,-0.24219128944761187,-0.2815804685182548,-0.27314234939933,-0.18371197036449696,-0.1316541915858281,-0.25201225188371135,-0.24583803574650107,-0.17930699842585204,-0.07938491233849847,0.05298818472090053,0.1534251405179061,0.153035804410387,0.18011407817655153,0.16248381659292718,0.2780828047714313,1.0,0.3320340537652026,0.28640950648825353,0.2630820937751342
Category 22,0.29822147334428845,-0.0584979277879885,0.09823123768670985,0.2465678668808061,0.08700004461002162,-0.1508959854836141,-0.43353203189733114,-0.2817160110785454,-0.28729505129416366,-0.15842170879141976,-0.04623747681558892,-0.28146083212117823,-0.14853358401622435,-0.2603193125798388,-0.20743211538810907,0.08636684481137369,0.0923183294856744,0.03999844069076202,0.035907180912897366,0.15577478324982627,0.3320340537652026,1.0,0.4246852486152119,0.26188302694866
Category 23,0.34208827003705267,0.029011458309652148,0.10539622247837814,0.10896148580398002,0.06492410418190207,-0.16341331712217647,-0.2972136116615534,-0.19665024981834883,-0.28960785042901926,-0.19315161981362336,-0.08326228893891022,-0.12602751144530644,-0.08494811190108965,-0.26040463339707315,-0.17131923130438054,0.06042924732027022,0.13954453296840413,0.10752712347600743,0.056291103602749144,0.08925937246691523,0.28640950648825353,0.4246852486152119,1.0,0.40911365024659313
Category 24,0.44306432247911426,0.06932609962458644,0.06386209325720325,0.020259493206041545,0.03365516231024453,-0.11680713519070018,-0.2861445350474993,-0.16803908257545183,-0.3686784492736412,-0.2573060663490066,-0.14821428594210206,-0.10948679665762603,-0.056718155576709374,-0.1422293200815533,-0.19628228488873325,0.012979510251930261,0.16611671807833225,0.17656224887012728,0.10898866373238139,0.0684242635747035,0.2630820937751342,0.26188302694866,0.40911365024659313,1.0
